date,code,name,open,close,high,low,volume,amount,source,return,is_extreme,industry,hs300_close,hs300_return,zz500_close,zz500_return,month,cpi,m2
2020-01-02,1,平安银行,2161.8,2189.3,2199.3,2149.29,1530232.0,2571196480.0,akshare,,False,银行,4152.241,,5366.138,,2020-01,4.5,8.7
2020-01-03,1,平安银行,2198.05,2228.06,2244.31,2195.55,1116195.0,1914495472.0,akshare,0.01754939365332525,False,银行,4144.965,-0.0017538438517885827,5380.637,0.0026982994986030516,2020-01,4.5,8.7
2020-01-06,1,平安银行,2206.8,2214.31,2248.06,2194.3,862084.0,1477930192.0,akshare,-0.006190409132800976,False,银行,4129.295,-0.003787654420795644,5434.85,0.010025152644493142,2020-01,4.5,8.7
2020-01-07,1,平安银行,2221.81,2224.31,2240.56,2199.3,728608.0,1247047136.0,akshare,0.004505912612193817,False,银行,4160.227,0.0074629498696334486,5499.84,0.011887079609913474,2020-01,4.5,8.7
2020-01-08,1,平安银行,2205.55,2163.05,2211.8,2159.3,847824.0,1423608816.0,akshare,-0.027927492417587987,False,银行,4112.317,-0.011583023470962453,5423.797,-0.013922877222158313,2020-01,4.5,8.7
2020-01-09,1,平安银行,2181.8,2179.3,2196.8,2146.79,1031637.0,1725326800.0,akshare,0.007484461573344756,False,银行,4164.37,0.012578387052420198,5497.543,0.013505141469315361,2020-01,4.5,8.7
2020-01-10,1,平安银行,2179.3,2166.8,2181.8,2145.54,585548.0,975154816.0,akshare,-0.005752299518021643,False,银行,4163.185,-0.0002845973417161902,5480.228,-0.0031545592195014677,2020-01,4.5,8.7
2020-01-13,1,平安银行,2174.3,2204.3,2209.3,2156.8,872133.0,1468271680.0,akshare,0.017158573378548515,False,银行,4203.988,0.009753192254408884,5559.627,0.01438431374732605,2020-01,4.5,8.7
2020-01-14,1,平安银行,2204.3,2175.55,2239.31,2175.55,1304494.0,2217608848.0,akshare,-0.01312849204341986,False,银行,4189.886,-0.0033600726595926144,5542.332,-0.0031156688636261778,2020-01,4.5,8.7
2020-01-15,1,平安银行,2179.3,2145.54,2188.05,2136.79,859439.0,1424889232.0,akshare,-0.013890237188280679,False,银行,4166.734,-0.005541010417105987,5530.027,-0.0022226528359040112,2020-01,4.5,8.7
2020-01-16,1,平安银行,2145.54,2121.79,2151.79,2105.54,1028105.0,1678888512.0,akshare,-0.011131196896072473,False,银行,4149.043,-0.004254810269430091,5527.668,-0.00042667120693561485,2020-01,4.5,8.7
2020-01-17,1,平安银行,2128.04,2129.29,2149.29,2124.29,605437.0,995909008.0,akshare,0.0035285187677137836,False,银行,4154.853,0.001399343380041611,5510.045,-0.0031932366740808605,2020-01,4.5,8.7
2020-01-20,1,平安银行,2134.29,2136.79,2156.8,2124.29,746075.0,1226464656.0,akshare,0.0035161120873968077,False,银行,4185.83,0.007427963016599622,5587.536,0.013965612771331098,2020-01,4.5,8.7
2020-01-21,1,平安银行,2123.04,2080.53,2123.04,2071.78,896603.0,1442171424.0,akshare,-0.026682033959925043,False,银行,4114.309,-0.017234113843992385,5523.942,-0.011446667017971103,2020-01,4.5,8.7
2020-01-22,1,平安银行,2070.53,2091.78,2100.54,2044.28,719465.0,1150933392.0,akshare,0.005392709201242062,False,银行,4131.931,0.004273954390029835,5575.513,0.00929259519603099,2020-01,4.5,8.7
2020-01-23,1,平安银行,2070.53,2023.02,2070.53,2004.27,1100592.0,1723394336.0,akshare,-0.033423933704606716,False,银行,4003.901,-0.03147571631024872,5377.741,-0.03611593353000506,2020-01,4.5,8.7
2020-02-03,1,平安银行,1829.24,1829.24,1918.01,1829.24,2259195.0,3201454160.0,akshare,-0.10069086439847748,False,银行,3688.358,-0.08208776330585395,4910.901,-0.09081096949321357,2020-02,5.4,8.4
2020-02-04,1,平安银行,1836.74,1905.5,1913.0,1832.99,1706172.0,2442932848.0,akshare,0.040843861286052004,False,银行,3785.638,0.026033060223713655,4996.474,0.017275035636825288,2020-02,5.4,8.4
2020-02-05,1,平安银行,1904.25,1909.25,1941.76,1870.5,1491380.0,2177632048.0,akshare,0.001966053454578568,False,银行,3828.527,0.01126570112611922,5123.962,0.02519550426218393,2020-02,5.4,8.4
2020-02-06,1,平安银行,1931.76,1926.76,1939.26,1894.25,1185816.0,1740107632.0,akshare,0.00912934096307464,False,银行,3899.775,0.01843872524709007,5282.892,0.030545707117263884,2020-02,5.4,8.4
2020-02-07,1,平安银行,1905.5,1908.0,1916.75,1881.75,924853.0,1345053248.0,akshare,-0.009784262723336313,False,银行,3899.869,2.4103664219655947e-05,5327.037,0.008321498615750576,2020-02,5.4,8.4
2020-02-10,1,平安银行,1894.25,1893.0,1896.75,1868.0,1339495.0,1931983488.0,akshare,-0.007892700798909042,False,银行,3916.005,0.004129038652660548,5388.435,0.011459816597001632,2020-02,5.4,8.4
2020-02-11,1,平安银行,1905.5,1929.26,1948.01,1900.5,1407507.0,2077194144.0,akshare,0.018973637476365983,False,银行,3952.464,0.009267180420094315,5361.277,-0.00505279728058605,2020-02,5.4,8.4
2020-02-12,1,平安银行,1929.26,1926.76,1933.01,1905.5,1070503.0,1573229040.0,akshare,-0.0012966739541205863,False,银行,3984.433,0.0080558366549316,5459.946,0.018236706622784087,2020-02,5.4,8.4
2020-02-13,1,平安银行,1919.26,1911.75,1940.51,1906.75,1013205.0,1491327712.0,akshare,-0.007820782807233615,False,银行,3959.919,-0.006171448043811738,5412.842,-0.00866462119865199,2020-02,5.4,8.4
2020-02-14,1,平安银行,1924.26,1959.26,1973.01,1918.01,1512435.0,2253906448.0,akshare,0.024547797989489285,False,银行,3987.734,0.006999579263002864,5420.803,0.0014696810598751134,2020-02,5.4,8.4
2020-02-17,1,平安银行,1960.51,2001.77,2001.77,1946.76,1543696.0,2337993584.0,akshare,0.021464938246656618,False,银行,4077.424,0.022242266692727816,5594.437,0.03152875168302364,2020-02,5.4,8.4
2020-02-18,1,平安银行,1996.77,1980.52,1996.77,1956.76,973612.0,1478274224.0,akshare,-0.010672352689513432,False,银行,4057.511,-0.004895685035575056,5660.814,0.011794986986679622,2020-02,5.4,8.4
2020-02-19,1,平安银行,1968.01,1985.52,2001.77,1965.51,874107.0,1333730224.0,akshare,0.002521408079069988,False,银行,4051.311,-0.001529198990481886,5603.263,-0.010218591507655373,2020-02,5.4,8.4
2020-02-20,1,平安银行,1989.27,2029.27,2033.02,1968.01,1235444.0,1897923024.0,akshare,0.02179527790075493,False,银行,4144.656,0.022779261145765704,5706.713,0.018294094550117452,2020-02,5.4,8.4
2020-02-21,1,平安银行,2016.77,2028.02,2045.53,2011.77,995071.0,1546692928.0,akshare,-0.0006161748554080032,False,银行,4149.49,0.0011656415373777192,5784.032,0.01345781617321244,2020-02,5.4,8.4
2020-02-24,1,平安银行,2013.02,1984.27,2013.02,1974.26,1191795.0,1820183856.0,akshare,-0.021808859300116976,False,银行,4132.839,-0.0040208551081310825,5865.467,0.013981086484363652,2020-02,5.4,8.4
2020-02-25,1,平安银行,1955.51,1960.51,1971.76,1928.01,1144575.0,1710369792.0,akshare,-0.012046444836282274,False,银行,4123.854,-0.0021764170102174935,5897.722,0.005484070831326722,2020-02,5.4,8.4
2020-02-26,1,平安银行,1926.76,1954.26,1989.27,1918.01,1176599.0,1769612240.0,akshare,-0.003193038319059352,False,银行,4073.015,-0.012404651557613057,5743.393,-0.026516023985897363,2020-02,5.4,8.4
2020-02-27,1,平安银行,1950.51,1969.26,1974.26,1941.76,975271.0,1464605744.0,akshare,0.007646232506024183,False,银行,4084.876,0.0029078614454918915,5753.728,0.00179784187428541,2020-02,5.4,8.4
2020-02-28,1,平安银行,1936.76,1893.0,1960.51,1888.0,1300644.0,1906892416.0,akshare,-0.03949496543662688,False,银行,3940.049,-0.03609821311335231,5451.29,-0.053995714634210316,2020-02,5.4,8.4
2020-03-02,1,平安银行,1899.25,1929.26,1949.26,1888.0,1116581.0,1647432272.0,akshare,0.018973637476365983,False,银行,4069.666,0.03236777242428254,5656.419,0.03693872855830054,2020-03,5.2,8.8
2020-03-03,1,平安银行,1950.51,1920.51,1954.26,1909.25,1153584.0,1705816272.0,akshare,-0.0045457339359358745,False,银行,4091.362,0.005316989750022409,5710.024,0.009432220338664093,2020-03,5.2,8.8
2020-03-04,1,平安银行,1915.5,1916.75,1928.01,1894.25,862595.0,1261123056.0,akshare,-0.001959732310749107,False,银行,4115.052,0.005773548789171297,5716.511,0.0011354274409377744,2020-03,5.2,8.8
2020-03-05,1,平安银行,1930.51,2004.27,2035.52,1921.76,2686602.0,4089493520.0,akshare,0.04464886122932984,False,银行,4206.725,0.022032964482575728,5801.12,0.014692348106190866,2020-03,5.2,8.8
2020-03-06,1,平安银行,1978.02,1959.26,1989.27,1958.01,1228531.0,1858691264.0,akshare,-0.02271305375450985,False,银行,4138.507,-0.016349340450807406,5763.86,-0.006443613204688724,2020-03,5.2,8.8
2020-03-09,1,平安银行,1919.26,1886.75,1921.76,1883.0,1665794.0,2420392128.0,akshare,-0.0377110787488461,False,银行,3997.133,-0.034757740644172794,5525.817,-0.04217627937908511,2020-03,5.2,8.8
2020-03-10,1,平安银行,1878.0,1925.51,1936.76,1878.0,1167865.0,1709084560.0,akshare,0.020335095532745033,False,银行,4082.732,0.021189018040099494,5675.111,0.026659012872743297,2020-03,5.2,8.8
2020-03-11,1,平安银行,1926.76,1916.75,1940.51,1908.0,814382.0,1201250688.0,akshare,-0.004559824258718961,False,银行,4028.429,-0.013389898518067397,5589.531,-0.015194738821436175,2020-03,5.2,8.8
2020-03-12,1,平安银行,1911.75,1915.5,1935.51,1896.75,986497.0,1447436640.0,akshare,-0.0006523582983000982,False,银行,3950.911,-0.019430288421095027,5493.884,-0.01725991031841485,2020-03,5.2,8.8
2020-03-13,1,平安银行,1817.99,1895.5,1903.0,1817.99,1169766.0,1669009840.0,akshare,-0.010496029184314097,False,银行,3895.313,-0.014172149703503105,5457.201,-0.006699452556977245,2020-03,5.2,8.8
2020-03-16,1,平安银行,1886.75,1799.23,1888.0,1799.23,1406202.0,1975824192.0,akshare,-0.05212386037292676,False,银行,3727.84,-0.043945058081852534,5200.114,-0.048255472526722215,2020-03,5.2,8.8
2020-03-17,1,平安银行,1799.23,1756.73,1826.74,1721.72,1177849.0,1582506080.0,akshare,-0.0239046692351331,False,银行,3709.682,-0.004882818787435797,5212.062,0.002295006393328384,2020-03,5.2,8.8
